Accession-1,Gene Name,start,end,Genes in same transcription unit,Promoters,Centisome-Position,Direction,Transcription Units,operon,promotorstart,promotorend,operon_direction
b0778,bioD,812270,812947,bioB // bioF // bioC // bioD,bioBp,17.499588,+,bioBFCD,bioBFCD,809044,809344,+
b0779,uvrB,813526,815547,uvrB,uvrBp1 // uvrBp3 // uvrBp2,17.526648,+,uvrB // uvrB // uvrB,uvrB,813226,813526,+
b0780,ybhK,815739,816647,ybhK,,17.574326,-,ybhK,ybhK,816647,816947,-
b0781,moaA,817044,818033,moaA // moaE // moaD // moaC // moaB,moaAp2 // moaAp1,17.60244,+,moaABCDE // moaABCDE,moaABCDE,816744,817044,+
b0782,moaB,818055,818567,moaE // moaD // moaC // moaB // moaA,moaBp // moaAp2 // moaAp1,17.62422,+,moaBCDE // moaABCDE // moaABCDE,moaABCDE,816744,817044,+
b0783,moaC,818570,819055,moaE // moaD // moaC // moaB // moaA,moaBp // moaAp2 // moaAp1,17.635315,+,moaBCDE // moaABCDE // moaABCDE,moaABCDE,816744,817044,+
b0784,moaD,819048,819293,moaE // moaD // moaC // moaB // moaA,moaBp // moaAp2 // moaAp1,17.645615,+,moaBCDE // moaABCDE // moaABCDE,moaABCDE,816744,817044,+
b0785,moaE,819295,819747,moaE // moaD // moaC // moaB // moaA,moaBp // moaAp2 // moaAp1,17.650934,+,moaBCDE // moaABCDE // moaABCDE,moaABCDE,816744,817044,+
b0786,ybhL,819884,820588,ybhL,ybhLp,17.663626,+,ybhL,ybhL,819584,819884,+
b0787,ybhM,820793,821506,ybhM,,17.683208,+,ybhM,ybhM,820493,820793,+
b0788,ybhN,821542,822498,ybhP // clsB // ybhN,,17.699345,-,ybhP-clsB-ybhN,ybhP-clsB-ybhN,824497,824797,-
b0789,clsB,822498,823739,ybhP // clsB // ybhN,,17.71994,-,ybhP-clsB-ybhN,ybhP-clsB-ybhN,824497,824797,-
b0790,ybhP,823736,824497,ybhP // clsB // ybhN,,17.746613,-,ybhP-clsB-ybhN,ybhP-clsB-ybhN,824497,824797,-
b0791,ybhQ,824630,825040,ybhQ,ybhQp,17.765873,+,ybhQ,ybhQ,824330,824630,+
b0792,ybhR,825002,826108,cecR // ybhG // ybhF // ybhS // ybhR,cecRp,17.773888,-,cecR-ybhGFSR,cecR-ybhGFSR,830643,830943,-
b0793,ybhS,826119,827252,cecR // ybhG // ybhF // ybhS // ybhR,cecRp,17.79795,-,cecR-ybhGFSR,cecR-ybhGFSR,830643,830943,-
b0794,ybhF,827245,828981,cecR // ybhG // ybhF // ybhS // ybhR,cecRp,17.82221,-,cecR-ybhGFSR,cecR-ybhGFSR,830643,830943,-
b0795,ybhG,828974,829972,cecR // ybhG // ybhF // ybhS // ybhR,cecRp,17.85946,-,cecR-ybhGFSR,cecR-ybhGFSR,830643,830943,-
b0796,cecR,829972,830643,cecR // ybhG // ybhF // ybhS // ybhR,cecRp,17.88096,-,cecR-ybhGFSR,cecR-ybhGFSR,830643,830943,-
b0797,rhlE,830872,832236,rhlE,,17.90035,+,rhlE,rhlE,830572,830872,+
b0798,ybiA,832468,832950,ybiA,,17.934734,-,ybiA,ybiA,832950,833250,-
b0799,dinG,833070,835220,dinG // ybiB,dinGp,17.947704,+,dinG-ybiB,dinG-ybiB,832770,833070,+
b0800,ybiB,835248,836210,dinG // ybiB,dinGp,17.994627,+,dinG-ybiB // ybiB,dinG-ybiB,832770,833070,+
b0801,hcxB,836351,837436,hcxB,,18.01839,+,hcxB,hcxB,836051,836351,+
b0802,ybiJ,837665,837925,ybiJ,,18.0467,-,ybiJ,ybiJ,837925,838225,-
b0803,ybiI,838190,838456,ybiI,ybiIp6,18.05801,-,ybiI,ybiI,838456,838756,-
b0804,ybiX,838530,839207,ybiX,,18.065334,-,ybiX,ybiX,839207,839507,-
b0805,fiu,839249,841531,fiu,fiup,18.080826,-,fiu,fiu,841531,841831,-
b0806,mcbA,841796,842056,mcbA,mcbAp5,18.135698,-,mcbA,mcbA,842056,842356,-
b0807,rlmF,842332,843258,rlmF,,18.147247,+,ybiN,rlmF,842032,842332,+
b0808,ybiO,843255,845480,ybiO,,18.167131,-,ybiO,ybiO,845480,845780,-
b0809,glnQ,845741,846463,glnQ // glnP // glnH,glnQp // glnHp1 // glnHp2,18.22069,-,glnQ // glnHPQ // glnHPQ,glnHPQ,848004,848304,-
b0810,glnP,846460,847119,glnP // glnH // glnQ,glnHp1 // glnHp2,18.23618,-,glnHPQ // glnHPQ,glnHPQ,848004,848304,-
b0811,glnH,847258,848004,glnP // glnH // glnQ,glnHp1 // glnHp2,18.25337,-,glnHPQ // glnHPQ,glnHPQ,848004,848304,-
b0812,dps,848408,848911,dps,dpsp2 // dpsp,18.278147,-,dps // dps,dps,848911,849211,-
b0813,rhtA,849210,850097,rhtA,,18.295425,-,rhtA,rhtA,850097,850397,-
b0814,ompX,850450,850965,yliM // ompX,yliMp // ompXp2,18.32214,+,yliM-ompX // ompX,yliM-ompX,850032,850332,+
b0815,opgE,851014,852597,opgE,,18.334291,-,ybiP,opgE,852597,852897,-
b0816,yliL,852671,852940,,,18.36107,+,,,852371,852671,+
b0817,mntR,853183,853650,ybiR // mntR,mntRp,18.38102,+,mntR-ybiR,mntR-ybiR,852883,853183,+
b0818,ybiR,853647,854765,ybiR // mntR,mntRp,18.391016,+,mntR-ybiR,mntR-ybiR,852883,853183,+
b0819,ldtB,854824,855744,ldtB,ldtBp,18.416374,-,ldtB,ldtB,855744,856044,-
b0820,ybiT,855963,857555,ybiT,ybiTp,18.440912,+,ybiT,ybiT,855663,855963,+
b0821,ybiU,857796,859061,ybiU,,18.480404,-,ybiU,ybiU,859061,859361,-
b0822,ybiV,859213,860028,ybiV,,18.510931,-,ybiV,ybiV,860028,860328,-
b0823,ybiW,860174,862606,ybiY // ybiW,,18.531635,-,ybiYW,ybiYW,863511,863811,-
b0824,ybiY,862612,863511,ybiY // ybiW,,18.58416,-,ybiYW,ybiYW,863511,863811,-
b0825,fsaA,863642,864304,fsaA,,18.60635,+,fsaA,fsaA,863342,863642,+
b0826,moeB,864380,865129,moeB // moeA,moeAp,18.62225,-,moeAB,moeAB,866364,866664,-
b0827,moeA,865129,866364,moeB // moeA,moeAp,18.638386,-,moeAB,moeAB,866364,866664,-
b0828,iaaA,866568,867533,gsiD // gsiC // gsiB // gsiA // iaaA,iaaAp,18.669388,+,iaaA-gsiABCD,iaaA-gsiABCD,866268,866568,+
b0829,gsiA,867520,869391,gsiD // gsiC // gsiB // gsiA // iaaA,iaaAp,18.689898,+,iaaA-gsiABCD,iaaA-gsiABCD,866268,866568,+
b0830,gsiB,869411,870949,gsiD // gsiC // gsiB // gsiA // iaaA,iaaAp,18.730637,+,iaaA-gsiABCD,iaaA-gsiABCD,866268,866568,+
b0831,gsiC,870967,871887,gsiD // gsiC // gsiB // gsiA // iaaA,iaaAp,18.76416,+,iaaA-gsiABCD,iaaA-gsiABCD,866268,866568,+
b0832,gsiD,871890,872801,gsiD // gsiC // gsiB // gsiA // iaaA,iaaAp,18.784044,+,iaaA-gsiABCD,iaaA-gsiABCD,866268,866568,+
b0833,pdeI,872979,875327,dgcI // pdeI,,18.807507,+,pdeI-dgcI,pdeI-dgcI,872679,872979,+
b0834,dgcI,875335,876663,dgcI // pdeI,,18.858265,+,pdeI-dgcI,pdeI-dgcI,872679,872979,+
b0835,rimO,876710,878035,rimO,rimOp,18.887888,-,rimO,rimO,878035,878335,-
b0836,bssR,878248,878631,bssR,,18.921022,+,bssR,bssR,877948,878248,+
b0837,yliI,878742,879857,yliI,,18.931665,+,yliI,yliI,878442,878742,+
b0838,gstB,879854,880480,gstB,gstBp,18.955622,-,gstB,gstB,880480,880780,-
b0839,dacC,880727,881929,dacC,dacCp,18.97443,+,dacC,dacC,880427,880727,+
b0840,deoR,881976,882734,deoR,deoRp,19.001337,-,deoR,deoR,882734,883034,-
b0841,ybjG,882792,883388,ybjG,ybjGp,19.018919,-,ybjG,ybjG,883388,883688,-
b0842,mdfA,883673,884905,mdfA,cmrp2 // cmrp1,19.037897,+,cmr // cmr,mdfA,883373,883673,+
b0843,ybjH,884946,885230,,,19.065323,-,,ybjH,885230,885530,-
b0844,ybjI,885316,886131,ybjJ // ybjI,,19.073296,-,ybjJI,ybjJI,887339,887639,-
b0845,ybjJ,886131,887339,ybjJ // ybjI,,19.090853,-,ybjJI,ybjJI,887339,887639,-
b0846,rcdA,887423,887959,rcdA,,19.118689,+,ybjK,rcdA,887123,887423,+
b0847,ybjL,888134,889819,ybjL,,19.134007,-,ybjL,ybjL,889819,890119,-
b0848,ybjM,890089,890466,ybjM,,19.176125,+,ybjM,ybjM,889789,890089,+
b0849,grxA,890496,890753,grxA,grxAp,19.184893,-,grxA,grxA,890753,891053,-
b0850,ybjC,890913,891200,nfsA // ybjC // rimK // ybjN,ybjCp,19.193878,+,ybjC-nfsA-rimK-ybjN,ybjC-nfsA-rimK-ybjN,890613,890913,+
b0851,nfsA,891184,891906,nfsA // ybjC // rimK // ybjN,ybjCp,19.199715,+,ybjC-nfsA-rimK-ybjN,ybjC-nfsA-rimK-ybjN,890613,890913,+
b0852,rimK,891967,892869,rimK // nfsA // ybjC // ybjN,rimKp // ybjCp,19.216585,+,rimK-ybjN // ybjC-nfsA-rimK-ybjN,ybjC-nfsA-rimK-ybjN,890613,890913,+
b0853,ybjN,892957,893433,nfsA // ybjC // ybjN // rimK,ybjNp // rimKp // ybjCp,19.237913,+,ybjN // rimK-ybjN // ybjC-nfsA-rimK-ybjN,ybjC-nfsA-rimK-ybjN,890613,890913,+
b0854,potF,893784,894896,potF // potG // potH // potI,potFp2 // potFp1,19.25573,+,potFGHI // potFGHI,potFGHI,893484,893784,+
b0855,potG,894991,896124,potF // potG // potH // potI,potFp2 // potFp1,19.281734,+,potFGHI // potFGHI,potFGHI,893484,893784,+
b0856,potH,896134,897087,potF // potG // potH // potI,potFp2 // potFp1,19.306358,+,potFGHI // potFGHI,potFGHI,893484,893784,+
b0857,potI,897084,897929,potF // potG // potH // potI,potFp2 // potFp1,19.326826,+,potFGHI // potFGHI,potFGHI,893484,893784,+
b0858,ybjO,897989,898477,rlmC // ybjO,,19.346323,+,ybjO-rlmC,ybjO-rlmC,897689,897989,+
b0859,rlmC,898518,899645,rlmC // ybjO,,19.35772,+,ybjO-rlmC,ybjO-rlmC,897689,897989,+
b0860,artJ,899844,900575,artJ,artJp,19.386288,-,artJ,artJ,900575,900875,-
b0861,artM,900866,901534,artM // artQ // artI // artP,artPp3 // artPp2 // artPp1 // artPp,19.408304,-,artPIQM // artPIQM // artPIQM // artPIQM,artPIQM,903734,904034,-
b0862,artQ,901534,902250,artM // artQ // artI // artP,artPp3 // artPp2 // artPp1 // artPp,19.422697,-,artPIQM // artPIQM // artPIQM // artPIQM,artPIQM,903734,904034,-
b0863,artI,902257,902988,artM // artQ // artI // artP,artPp3 // artPp2 // artPp1 // artPp,19.438272,-,artPIQM // artPIQM // artPIQM // artPIQM,artPIQM,903734,904034,-
b0864,artP,903006,903734,artM // artQ // artI // artP,artPp3 // artPp2 // artPp1 // artPp,19.454409,-,artPIQM // artPIQM // artPIQM // artPIQM,artPIQM,903734,904034,-
b0865,ybjP,903952,904467,ybjP,ybjPp,19.47479,-,ybjP,ybjP,904467,904767,-
b0866,ybjQ,904593,904916,amiD // ybjQ,ybjQp,19.4886,+,ybjQ-amiD,ybjQ-amiD,904293,904593,+
b0867,amiD,904913,905743,amiD // ybjQ,ybjQp,19.495495,+,ybjQ-amiD,ybjQ-amiD,904293,904593,+
b0868,ybjS,905740,906753,ybjS,,19.513311,-,ybjS,ybjS,906753,907053,-
b0869,ybjT,906852,908282,hcr // hcp // poxB // ltaE // ybjT,ltaEp,19.537268,-,ltaE-ybjT // poxB-ltaE-ybjT,hcp-hcr-poxB-ltaE-ybjT,913814,914114,-
b0870,ltaE,908293,909294,hcr // hcp // poxB // ltaE // ybjT,ltaEp,19.568314,-,ltaE-ybjT // poxB-ltaE-ybjT,hcp-hcr-poxB-ltaE-ybjT,913814,914114,-
b0871,poxB,909331,911049,ltaE // ybjT // poxB // hcr // hcp,poxBp2 // hcpp1 // poxBp1,19.590675,-,poxB // hcp-hcr-poxB // poxB-ltaE-ybjT // poxB,hcp-hcr-poxB-ltaE-ybjT,913814,914114,-
b0872,hcr,911182,912150,hcr // hcp // ltaE // ybjT // poxB,hcpp1 // hcpp2 // hcpp1,19.630554,-,hcp-hcr-poxB // hcp-hcr // hcp-hcr,hcp-hcr-poxB-ltaE-ybjT,913814,914114,-
b0873,hcp,912162,913814,hcr // hcp // ltaE // ybjT // poxB,hcpp1 // hcpp2 // hcpp1,19.651669,-,hcp-hcr-poxB // hcp-hcr // hcp-hcr,hcp-hcr-poxB-ltaE-ybjT,913814,914114,-
b0874,lysO,913958,914857,lysO,lysOp,19.690361,-,lysO,lysO,914857,915157,-
b0875,aqpZ,915352,916047,aqpZ,,19.720392,-,aqpZ,aqpZ,916047,916347,-
b0876,ybjD,916473,918131,ybjD,,19.744543,+,ybjD,ybjD,916173,916473,+
b0877,ybjX,918128,919120,ybjX,ybjXp,19.7802,-,ybjX,ybjX,919120,919420,-
b0878,macA,919235,920350,macA // macB,,19.804049,+,macAB,macAB,918935,919235,+
b0879,macB,920347,922293,macA // macB,,19.828005,+,macAB // macB // macB,macAB,918935,919235,+
b0880,cspD,922366,922590,cspD,cspDp,19.871504,-,cspD,cspD,922590,922890,-
b0881,clpS,922913,923233,clpS,clpSp,19.883287,+,clpS,clpS,922613,922913,+
b0882,clpA,923264,925540,clpA,clpAp3 // clpAp2 // clpAp1,19.89085,+,clpA // clpA // clpA,clpA,922964,923264,+
b0883,serW,925884,925971,infA // serW,serWp1 // serWp2,19.947294,-,infA-serW // serW // serW,infA-serW,926443,926743,-
b0884,infA,926225,926443,infA // serW,infAp1 // infAp2,19.954641,-,infA-serW // infA // infA,infA-serW,926443,926743,-
b0885,aat,926728,927432,aat,,19.965477,-,aat,aat,927432,927732,-
b0886,cydC,927474,929195,cydC // cydD,cydDp,19.98155,-,cydDC,cydDC,930962,931262,-
b0887,cydD,929196,930962,cydC // cydD,cydDp,20.01865,-,cydDC,cydDC,930962,931262,-
b0888,trxB,931085,932050,trxB,trxBp,20.059345,-,trxB,trxB,932050,932350,-
b0889,lrp,932595,933089,lrp,lrpp,20.091877,+,lrp,lrp,932295,932595,+
b0890,ftsK,933224,937213,ftsK,ftsKp2 // ftsKp1,20.105427,+,ftsK // ftsK,ftsK,932924,933224,+
b0891,lolA,937372,937983,rarA // lolA,lolAp,20.194729,+,lolA-rarA,lolA-rarA,937072,937372,+
b0892,rarA,937994,939337,rarA // lolA,lolAp,20.208193,+,lolA-rarA,lolA-rarA,937072,937372,+
b0893,serS,939428,940720,serS,serSp,20.239088,+,serS,serS,939128,939428,+
b0894,dmsA,940959,943403,dmsA // dmsB // dmsC,dmsAp2 // dmsAp1,20.272072,+,dmsABC // dmsABC,dmsABC,940659,940959,+
b0895,dmsB,943414,944031,dmsA // dmsB // dmsC,dmsAp2 // dmsAp1,20.324963,+,dmsABC // dmsABC,dmsABC,940659,940959,+
b0896,dmsC,944033,944896,dmsC // dmsB // dmsA,dmsCp // dmsAp2 // dmsAp1,20.338299,+,dmsC // dmsABC // dmsABC,dmsABC,940659,940959,+
b0897,ycaC,944931,945557,ycaC,,20.357645,-,ycaC,ycaC,945557,945857,-
b0898,ycaD,945871,947019,ycaD,,20.377895,+,ycaD,ycaD,945571,945871,+
b0899,ycaM,947229,948659,ycaM,,20.407152,+,ycaM,ycaM,946929,947229,+
b0900,ycaN,948660,949568,ycaN,,20.437983,-,ycaN,ycaN,949568,949868,-
b0901,ycaK,949668,950258,ycaK,,20.459698,+,ycaK,ycaK,949368,949668,+
b0902,pflA,950340,951080,pflA,pflAp,20.474176,-,pflA,pflA,951080,951380,-
b0903,pflB,951272,953554,focA // pflB,pflBp5 // pflBp4 // pflBp3 // pflBp2 // pflBp1 // focAp3 // focAp2 // focAp1,20.494255,-,pflB // pflB // pflB // pflB // pflB // focA-pflB // focA-pflB // focA-pflB,focA-pflB,954466,954766,-
b0904,focA,953609,954466,focA // pflB,focAp3 // focAp2 // focAp1,20.544603,-,focA-pflB // focA-pflB // focA-pflB,focA-pflB,954466,954766,-
b0905,ycaO,954872,956632,ycaO,,20.571814,-,ycaO,ycaO,956632,956932,-
b0906,ycaP,956762,957454,ycaP,,20.612532,+,ycaP,ycaP,956462,956762,+
b0907,serC,957653,958741,aroA // serC,serCp2 // serCp1 // serCp1,20.631727,+,serC // serC // serC-aroA,serC-aroA,957353,957653,+
b0908,aroA,958812,960095,aroA // serC,serCp1,20.656698,+,serC-aroA,serC-aroA,957353,957653,+
b0909,ycaL,960264,961028,ycaL,,20.687979,+,ycaL,ycaL,959964,960264,+
b0910,cmk,961201,961884,cmk // ihfB // rpsA,cmkp,20.708166,+,cmk-rpsA,cmk-rpsA-ihfB,960901,961201,+
b0911,rpsA,961995,963668,cmk // rpsA // ihfB,rpsAp3 // rpsAp1 // cmkp,20.725273,+,rpsA-ihfB // rpsA-ihfB // cmk-rpsA,cmk-rpsA-ihfB,960901,961201,+
b0912,ihfB,963828,964112,cmk // ihfB // rpsA,ihfBp2 // rpsAp3 // rpsAp1 // ihfBp,20.764763,+,ihfB // rpsA-ihfB // rpsA-ihfB // ihfB,cmk-rpsA-ihfB,960901,961201,+
b0913,ycaI,964320,966584,ycaQ // lpxK // msbA // ycaI,,20.775362,+,ycaI-msbA-lpxK-ycaQ,ycaI-msbA-lpxK-ycaQ,964020,964320,+
b0914,msbA,966621,968369,ycaQ // lpxK // msbA // ycaI,,20.824934,+,ycaI-msbA-lpxK-ycaQ,ycaI-msbA-lpxK-ycaQ,964020,964320,+
b0915,lpxK,968366,969352,ycaQ // lpxK // msbA // ycaI,,20.862528,+,ycaI-msbA-lpxK-ycaQ,ycaI-msbA-lpxK-ycaQ,964020,964320,+
b0916,ycaQ,969389,970621,ycaQ // lpxK // msbA // ycaI,,20.88457,+,ycaI-msbA-lpxK-ycaQ,ycaI-msbA-lpxK-ycaQ,964020,964320,+
b0917,ycaR,970673,970855,kdsB // ycaR,ycaRp,20.912231,+,ycaR-kdsB,ycaR-kdsB,970373,970673,+
b0918,kdsB,970852,971598,kdsB // ycaR,ycaRp,20.916088,+,ycaR-kdsB,ycaR-kdsB,970373,970673,+
b0919,ycbJ,971752,972645,ycbJ,ycbJp,20.935478,+,ycbJ,ycbJ,971452,971752,+
b0920,elyC,972622,973401,elyC,,20.95422,-,ycbC,elyC,973401,973701,-
b0921,cmoM,973537,974322,mukB // mukE // mukF // cmoM,cmoMp,20.973932,+,smtA-mukFEB,cmoM-mukFEB,973237,973537,+
b0922,mukF,974319,975641,mukB // mukE // mukF // cmoM,cmoMp,20.990782,+,smtA-mukFEB,cmoM-mukFEB,973237,973537,+
b0923,mukE,975622,976326,mukB // mukE // mukF // cmoM,cmoMp,21.018852,+,smtA-mukFEB,cmoM-mukFEB,973237,973537,+
b0924,mukB,976326,980786,mukB // mukE // mukF // cmoM,cmoMp,21.03402,+,smtA-mukFEB,cmoM-mukFEB,973237,973537,+
b0925,ldtD,981047,982894,ldtD,ldtDp,21.135729,+,ldtD,ldtD,980747,981047,+
b0926,mepK,983075,983623,gloC // mepK,mepKp,21.17942,+,mepK-gloC,mepK-gloC,982775,983075,+
b0927,gloC,983650,984297,gloC // mepK,mepKp,21.191809,+,mepK-gloC,mepK-gloC,982775,983075,+
b0928,aspC,984519,985709,aspC,aspCp,21.210531,-,aspC,aspC,985709,986009,-
b0929,ompF,985894,986982,ompF,ompFp2 // ompFp,21.240154,-,ompF // ompF,ompF,986982,987282,-
b0930,asnS,987585,988985,asnS,asnSp,21.276585,-,asnS,asnS,988985,989285,-
b0931,pncB,989154,990356,pncB,pncBp,21.310387,-,pncB,pncB,990356,990656,-
b0932,pepN,990622,993234,pepN,pepNp,21.342014,+,pepN,pepN,990322,990622,+
b0933,ssuB,993277,994044,ssuB // ssuC // ssuD // ssuA // ssuE,ssuEp,21.399214,-,ssuEADCB,ssuEADCB,997512,997812,-
b0934,ssuC,994041,994832,ssuB // ssuC // ssuD // ssuA // ssuE,ssuEp,21.415672,-,ssuEADCB,ssuEADCB,997512,997812,-
b0935,ssuD,994843,995988,ssuB // ssuC // ssuD // ssuA // ssuE,ssuEp,21.432951,-,ssuEADCB,ssuEADCB,997512,997812,-
b0936,ssuA,995985,996944,ssuB // ssuC // ssuD // ssuA // ssuE,ssuEp,21.457554,-,ssuEADCB,ssuEADCB,997512,997812,-
b0937,ssuE,996937,997512,ssuB // ssuC // ssuD // ssuA // ssuE,ssuEp,21.478064,-,ssuEADCB,ssuEADCB,997512,997812,-
b0938,elfA,997868,998407,elfA,,21.498121,+,elfA,elfA,997568,997868,+
b0939,elfD,998490,999191,ycbF // ycbV // ycbU // elfG // elfC // elfD,,21.511522,+,elfDCG-ycbUVF,elfDCG-ycbUVF,998190,998490,+
b0940,elfC,999216,1001816,ycbF // ycbV // ycbU // elfG // elfC // elfD,,21.527164,+,elfDCG-ycbUVF,elfDCG-ycbUVF,998190,998490,+
b0941,elfG,1001807,1002877,ycbF // ycbV // ycbU // elfG // elfC // elfD,,21.582983,+,elfDCG-ycbUVF,elfDCG-ycbUVF,998190,998490,+
b0942,ycbU,1002889,1003431,ycbF // ycbV // ycbU // elfG // elfC // elfD,,21.606295,+,elfDCG-ycbUVF,elfDCG-ycbUVF,998190,998490,+
b0943,ycbV,1003439,1003954,ycbF // ycbV // ycbU // elfG // elfC // elfD,,21.618145,+,elfDCG-ycbUVF,elfDCG-ycbUVF,998190,998490,+
b0944,ycbF,1003947,1004657,ycbF // ycbV // ycbU // elfG // elfC // elfD,,21.629087,+,elfDCG-ycbUVF,elfDCG-ycbUVF,998190,998490,+
b0945,pyrD,1004768,1005778,pyrD,pyrDp,21.646776,+,pyrD,pyrD,1004468,1004768,+
b0946,zapC,1005952,1006494,zapC,,21.672285,+,zapC,zapC,1005652,1005952,+
b0947,ycbX,1006491,1007600,ycbX,,21.683895,-,ycbX,ycbX,1007600,1007900,-
b0948,rlmL,1007844,1009952,rlmL // uup,rlmLp,21.713045,+,rlmL-uup,rlmL-uup,1007544,1007844,+
b0949,uup,1009964,1011871,rlmL // uup,rlmLp,21.758718,+,rlmL-uup,rlmL-uup,1007544,1007844,+
b0950,pqiA,1012001,1013254,pqiC // pqiB // pqiA,pqiAp3 // pqiAp // pqiAp2 // pqiAp1,21.802605,+,pqiABC // pqiABC // pqiABC // pqiABC,pqiABC,1011701,1012001,+
b0951,pqiB,1013259,1014899,pqiC // pqiB // pqiA,pqiAp3 // pqiAp // pqiAp2 // pqiAp1,21.829706,+,pqiABC // pqiABC // pqiABC // pqiABC,pqiABC,1011701,1012001,+
b0952,pqiC,1014896,1015459,pqiC // pqiB // pqiA,pqiAp3 // pqiAp // pqiAp1 // pqiAp2,21.864975,+,pqiABC // pqiABC // pqiABC // pqiABC // ymbA,pqiABC,1011701,1012001,+
b0953,rmf,1015715,1015882,rmf,rmfp,21.88262,+,rmf,rmf,1015415,1015715,+
b0954,fabA,1015952,1016470,fabA,fabAp,21.887724,-,fabA,fabA,1016470,1016770,-
b0955,ycbZ,1016539,1018299,ycbZ,,21.900372,-,ycbZ,ycbZ,1018299,1018599,-
b0956,matP,1018485,1018937,matP,matPp,21.942295,+,matP,matP,1018185,1018485,+
b0957,ompA,1019013,1020053,ompA,ompAp2 // ompAp1,21.95367,-,ompA // ompA,ompA,1020053,1020353,-
b0958,sulA,1020410,1020919,sulA,sulAp,21.983768,-,sulA,sulA,1020919,1021219,-
b0959,sxy,1021138,1021767,sxy,sxyp,21.99945,+,yccR,sxy,1020838,1021138,+
b0960,yccS,1021730,1023883,yccF // yccS,yccFp,22.012205,-,yccFS,yccFS,1024348,1024648,-
b0961,yccF,1023902,1024348,yccF // yccS,yccFp,22.059,-,yccFS,yccFS,1024348,1024648,-
b0962,helD,1024471,1026525,helD,helDp,22.071259,+,helD,helD,1024171,1024471,+
b0963,mgsA,1026557,1027015,mgsA,mgsAp,22.1162,-,mgsA,mgsA,1027015,1027315,-
b0964,yccT,1027111,1027773,yccT,yccTp,22.128136,-,yccT,yccT,1027773,1028073,-
b0965,yccU,1027946,1028359,yccU,,22.146124,+,yccU,yccU,1027646,1027946,+
b0966,hspQ,1028404,1028721,hspQ,hspQp,22.15599,-,hspQ,hspQ,1028721,1029021,-
b0967,rlmI,1028779,1029969,rlmI,,22.16407,-,rlmI,rlmI,1029969,1030269,-
b0968,yccX,1030064,1030342,yccX,,22.191753,+,yccX,yccX,1029764,1030064,+
b0969,tusE,1030339,1030668,tusE,,22.19768,-,tusE,tusE,1030668,1030968,-
b0970,yccA,1030759,1031418,yccA,yccAp,22.206726,-,yccA,yccA,1031418,1031718,-
b0971,serT,1031625,1031712,serT,serTp,22.225384,-,serT,serT,1031712,1032012,-
b0972,hyaA,1032139,1033257,hyaA // hyaB // hyaC // hyaD // hyaE // hyaF,hyaAp2 // hyaAp,22.236458,+,hyaABCDEF // hyaABCDEF,hyaABCDEF,1031839,1032139,+
b0973,hyaB,1033254,1035047,hyaA // hyaB // hyaC // hyaD // hyaE // hyaF,hyaAp2 // hyaAp,22.260479,+,hyaABCDEF // hyaABCDEF,hyaABCDEF,1031839,1032139,+
b0974,hyaC,1035066,1035773,hyaA // hyaB // hyaC // hyaD // hyaE // hyaF,hyaAp2 // hyaAp,22.299519,+,hyaABCDEF // hyaABCDEF,hyaABCDEF,1031839,1032139,+
b0975,hyaD,1035770,1036357,hyaA // hyaB // hyaC // hyaD // hyaE // hyaF,hyaAp2 // hyaAp,22.314684,+,hyaABCDEF // hyaABCDEF,hyaABCDEF,1031839,1032139,+
b0976,hyaE,1036354,1036752,hyaA // hyaB // hyaC // hyaD // hyaE // hyaF,hyaAp2 // hyaAp,22.327267,+,hyaABCDEF // hyaABCDEF,hyaABCDEF,1031839,1032139,+
b0977,hyaF,1036749,1037606,hyaA // hyaB // hyaC // hyaD // hyaE // hyaF,hyaAp2 // hyaAp,22.335777,+,hyaABCDEF // hyaABCDEF,hyaABCDEF,1031839,1032139,+
b0978,appC,1037740,1039284,appX // appC // appB // appA,appCp2 // appCp,22.357126,+,appCBA-yccB // appCBA-yccB,appCBXA,1037440,1037740,+
b0979,appB,1039296,1040432,appX // appC // appB // appA,appCp2 // appCp,22.390648,+,appCBA-yccB // appCBA-yccB,appCBXA,1037440,1037740,+
b0980,appA,1040617,1041915,appX // appC // appB // appA,appCp2 // appAp // appCp,22.41911,+,appCBA-yccB // appA // appCBA-yccB,appCBXA,1037440,1037740,+
b0981,etk,1042030,1044210,gfcE // etp // etk,,22.44955,-,gfcE-etp-etk,gfcE-etp-etk,1045803,1046103,-
b0982,etp,1044230,1044676,gfcE // etp // etk,,22.496948,-,gfcE-etp-etk,gfcE-etp-etk,1045803,1046103,-
b0983,gfcE,1044664,1045803,gfcE // etp // etk,,22.506296,-,gfcE-etp-etk,gfcE-etp-etk,1045803,1046103,-
b0984,gfcD,1045849,1047945,gfcB // gfcC // gfcD,,22.531826,-,gfcBCD,gfcBCD,1049332,1049632,-
b0985,gfcC,1047945,1048691,gfcB // gfcC // gfcD,,22.576982,-,gfcBCD,gfcBCD,1049332,1049632,-
b0986,gfcB,1048688,1049332,gfcB // gfcC // gfcD,,22.59299,-,gfcBCD,gfcBCD,1049332,1049632,-
b0987,gfcA,1049439,1049744,gfcA,gfcAp,22.609169,-,gfcA,gfcA,1049744,1050044,-
b0988,insB4,1050027,1050530,insB4 // insA4 // insAB4,,22.62184,+,insA4AB4B4,insA4AB4B4,1049533,1049833,+
